ticker,trends_score,trading_signal,confidence,current_price,rsi,macd,macd_signal,trend_strength,momentum_20d,momentum_50d,volume_ratio,volatility,position_52w,bb_position,week_52_high,week_52_low,current_ma_20,current_ma_50,current_ma_200,individual_scores,data_quality,success
ROST,59.7,HOLD,LOW,138.3300018310547,70.25725733911194,0.6194177601921922,-0.6479165519345815,1.579557947978678,9.248143129414641,-7.10157491691952,0.620816868275129,0.2610957186124776,48.189617165967455,103.32740344028575,155.29339599609375,122.55209350585938,131.70450096130372,136.35512741088868,140.32475765228273,"{'price_trend_score': 75, 'moving_average_signal_score': 75, 'trend_strength_score': 60, 'rsi_signal_score': 15, 'macd_signal_score': 90, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
MMYT,59.6,HOLD,LOW,102.75,70.59164545792083,0.9108757549273179,-0.3620996425563217,1.346409379927318,4.846938775510204,-3.6025860491802857,0.5745128937718148,0.5269247123064028,51.53257076973156,95.82935076898518,120.45999908447266,83.91999816894531,96.15950050354004,98.42220016479492,103.30259998321533,"{'price_trend_score': 82, 'moving_average_signal_score': 82, 'trend_strength_score': 60, 'rsi_signal_score': 15, 'macd_signal_score': 90, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
CLSK,59.5,HOLD,LOW,11.819999694824219,54.77582701051496,0.5667835994343804,0.701537444923163,11.989325306135775,9.343193672543189,18.199996948242188,0.6265411677319743,0.9894116522810239,46.74610631406298,37.124111732734455,17.6299991607666,6.71999979019165,12.170999908447266,10.596399936676026,10.40779999256134,"{'price_trend_score': 62, 'moving_average_signal_score': 62, 'trend_strength_score': 95, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
GEHC,59.5,HOLD,LOW,77.61000061035156,62.263843718525095,1.0322820861714916,0.935961490101545,2.3126980837336433,3.720806882270718,5.167816749811892,0.9117300810973241,0.34174327941099,54.05553001253751,98.10798636651502,93.68885803222656,58.69257354736328,75.58279342651367,73.29587585449218,79.48357732772827,"{'price_trend_score': 77, 'moving_average_signal_score': 77, 'trend_strength_score': 80, 'rsi_signal_score': 30, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 50, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
HUT,59.5,HOLD,LOW,20.3799991607666,42.85713336312871,0.8592362317696001,1.1206744676180853,9.798443341685449,9.10063612322207,23.515146428888496,0.5692098504810831,0.9753748714843173,53.57815105177617,37.501770006673,30.239999771118164,9.0,21.027499961853028,18.592399978637694,18.38335002422333,"{'price_trend_score': 62, 'moving_average_signal_score': 62, 'trend_strength_score': 95, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
DOCU,59.4,HOLD,LOW,79.87000274658203,56.08957090849695,0.31817931172611225,-0.3066487647070553,2.439264942875223,5.718066870049856,-11.589543962508712,0.7156194654182079,0.5320338925617639,52.63710109647567,72.75601429956758,106.98999786376953,49.72999954223633,78.07050018310547,80.8881999206543,82.68942481994628,"{'price_trend_score': 60, 'moving_average_signal_score': 60, 'trend_strength_score': 80, 'rsi_signal_score': 50, 'macd_signal_score': 75, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
AMZN,59.2,HOLD,LOW,231.44000244140625,64.0763014977438,4.559884201353327,4.337255243430289,3.0432983323110294,6.595434619685638,9.49520167850293,0.6850150215148825,0.3430206876224069,86.89536525541057,95.34227112885024,242.05999755859375,161.02000427246094,224.65500106811524,215.37360137939453,208.4738503265381,"{'price_trend_score': 80, 'moving_average_signal_score': 80, 'trend_strength_score': 80, 'rsi_signal_score': 30, 'macd_signal_score': 60, 'momentum_score_score': 60, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 10}",250,True
KHC,59.1,HOLD,LOW,28.68000030517578,72.49136495287888,0.5829800074401419,0.3758120342644639,3.952734846762189,11.205890992847776,5.512699594350334,0.4382178680641066,0.23641501831837003,33.7743088764881,84.32269347243138,34.69974899291992,25.610000610351562,27.27200002670288,26.754969177246092,29.20131857872009,"{'price_trend_score': 80, 'moving_average_signal_score': 80, 'trend_strength_score': 80, 'rsi_signal_score': 15, 'macd_signal_score': 60, 'momentum_score_score': 80, 'volume_trend_score': 20, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
TGT,59.1,HOLD,LOW,106.05000305175781,61.346249987842,1.940838406673464,1.7812548865593867,3.5752361441213893,8.657791710803417,8.247424446645013,0.6591992834955399,0.41025535804367785,26.65000058907753,77.72948343241897,156.39932250976562,87.75675964355469,103.46699981689453,99.13419998168945,117.70240257263184,"{'price_trend_score': 70, 'moving_average_signal_score': 70, 'trend_strength_score': 80, 'rsi_signal_score': 30, 'macd_signal_score': 60, 'momentum_score_score': 80, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 25}",250,True
CAN,59.0,HOLD,LOW,0.7960000038146973,56.204379244474175,0.04653278058977928,0.04753662274002004,15.638962681029353,30.921057468780837,-9.852775855083628,0.6579825117660677,1.2204219055718997,8.678344068062243,54.014998738325616,3.0899999141693115,0.578000009059906,0.7763999938964844,0.7135799980163574,1.2868599924445152,"{'price_trend_score': 55, 'moving_average_signal_score': 55, 'trend_strength_score': 95, 'rsi_signal_score': 50, 'macd_signal_score': 40, 'momentum_score_score': 95, 'volume_trend_score': 35, 'volume_price_trend_score': 50, 'volatility_signal_score': 60, 'bollinger_position_score': 50}",250,True
