ticker,valuation_score,trading_signal,confidence,sector,industry,market_cap,current_price,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,ev_sales,dividend_yield,fcf_yield,earnings_yield,position_52w,upside_to_target,graham_number,graham_discount,beta,individual_scores,data_completeness,success
CCEP,48.4,HOLD,LOW,Consumer Defensive,Beverages - Non-Alcoholic,45909958656.0,100.04,27.63536,5.431053,2.246304,1.5,17.533,2.755,219.0,4.102595792152481,3.618552463221033,97.84098697738179,-5.658406637345072,38.73382242949952,-61.281664904538665,0.638,"{'pe_ratio_score': 20, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 80, 'earnings_yield_score': 60}",100.0,True
ADP,47.2,HOLD,LOW,Technology,Software - Application,125280018432.0,308.63,31.55726,21.416279,6.201183,1.5,21.342,6.285,200.0,2.3216691347940173,3.1688429223576446,72.4450194049159,2.786757606195124,56.31288085331809,-81.75391865556877,0.77,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 60}",100.0,True
FOLD,45.8,HOLD,LOW,Healthcare,Biotechnology,1866061952.0,6.06,20.0,9.63434,3.435686,1.5,36.755,3.791,0.0,1.568805149723132,5.0,7.703081232492994,161.02607260726072,6.06,0.0,0.505,"{'pe_ratio_score': 60, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 20, 'fcf_yield_score': 40, 'earnings_yield_score': 80}",100.0,True
ASML,45.6,HOLD,LOW,Technology,Semiconductor Equipment & Materials,285113122816.0,711.25,25.123632,15.63943,8.864549,1.5,22.494,8.456,104.0,3.000703758389015,3.9803162217946833,36.214328586238885,20.600061862917393,170.2009079000462,-76.07017112125888,1.219,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 60, 'ev_sales_score': 80, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 60}",100.0,True
AFRM,44.6,SELL,LOW,Technology,Software - Infrastructure,21643233280.0,67.09,20.0,7.526363,7.1971855,1.5,435.919,9.192,0.0,1.5595942604006345,5.0,74.38989996184283,8.605351021016547,67.09,0.0,3.639,"{'pe_ratio_score': 60, 'forward_pe_score': 20, 'pb_ratio_score': 40, 'ps_ratio_score': 60, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 80, 'ev_fcf_score': 20, 'dividend_yield_score': 20, 'fcf_yield_score': 40, 'earnings_yield_score': 80}",100.0,True
CRWD,44.2,SELL,LOW,Technology,Software - Infrastructure,116628127744.0,467.92,20.0,33.772648,28.19814,1.5,-8820.416,27.282,0.0,1.123851895210957,5.0,84.21666614118611,2.52731663532227,467.92,0.0,1.157,"{'pe_ratio_score': 60, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 20, 'peg_ratio_score': 60, 'ev_ebitda_score': 100, 'ev_sales_score': 20, 'ev_fcf_score': 20, 'dividend_yield_score': 20, 'fcf_yield_score': 40, 'earnings_yield_score': 80}",100.0,True
ADI,42.6,SELL,LOW,Technology,Semiconductors,113055219712.0,227.82,61.739838,3.2291534,11.514328,1.5,26.972,12.008,174.0,2.637925027784851,1.6196997471875454,77.64930399640772,11.560113247300503,76.53428496432171,-66.40580942659918,1.018,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 60, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 40, 'ev_sales_score': 60, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 60, 'earnings_yield_score': 40}",100.0,True
CYBR,41.4,SELL,LOW,Technology,Software - Infrastructure,19047229440.0,378.72,20.0,7.7665443,17.366295,1.5,5514.791,16.532,0.0,1.7805457799956022,5.0,77.86387434554976,18.030360160540752,378.72,0.0,0.997,"{'pe_ratio_score': 60, 'forward_pe_score': 20, 'pb_ratio_score': 40, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 60, 'ev_fcf_score': 20, 'dividend_yield_score': 20, 'fcf_yield_score': 40, 'earnings_yield_score': 80}",100.0,True
FAST,41.2,SELL,LOW,Industrials,Industrial Distribution,54799814656.0,47.75,45.913464,14.391199,7.048752,1.5,31.643,7.088,184.0,1.199000376414704,2.178010354435466,97.81999377141076,-9.424083769633508,8.811424402444818,-81.54675517812603,0.958,"{'pe_ratio_score': 20, 'forward_pe_score': 40, 'pb_ratio_score': 20, 'ps_ratio_score': 40, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 40, 'earnings_yield_score': 60}",100.0,True
COST,41.0,SELL,LOW,Consumer Defensive,Discount Stores,414863851520.0,935.48,53.182487,15.295868,1.5435301,1.5,32.822,1.519,56.00000000000001,1.4246541101002792,1.8803182333312092,49.95266977526908,14.561508530380129,155.5802147607465,-83.36894270740727,0.961,"{'pe_ratio_score': 20, 'forward_pe_score': 20, 'pb_ratio_score': 20, 'ps_ratio_score': 80, 'peg_ratio_score': 60, 'ev_ebitda_score': 20, 'ev_sales_score': 100, 'ev_fcf_score': 20, 'dividend_yield_score': 100, 'fcf_yield_score': 40, 'earnings_yield_score': 40}",100.0,True
